BBL,Boro,Block ,Lot,PHN,Street,Owner Name,Bldg ID,BIN,Units,Housing Type,Tax Class,Program,HPD AM Oversight,Comments,Community District,City Council District,Assembly District,State Senatorial District,Congressional District,ZIP Code,Census Tract
1019700068,1,1970,68,1463,AMSTERDAM AVENUE,1463 Amsterdam Avenue HDFC,5568,1059638,13,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,109,9,70,31,13,10027,21303
1017180035,1,1718,35,1486,5 AVENUE,1486 5 Avenue HDFC,2582,1053260,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,70,30,13,10035,200
1017510008,1,1751,8,15,EAST 126 STREET,15 East 126 Street HDFC,20642,1054082,5,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,9,70,30,13,10035,206
1021360050,1,2136,50,15,FT WASHINGTON AVENUE,15 Fort Washington HDFC,21772,1063315,37,COOP,2,Community Management Program (CMP),John Torrente,,112,7,71,31,13,10032,247
1019880033,1,1988,33,1508-10,AMSTERDAM AVENUE,1508-10 AMSTERDAM AVENUE HOUSING DEVELOPMENT FUND,5585,1059766,22,RENTAL,2,Tenant Interim Lease (TIL) 2,Debra Busacco,Sponsor: WHGA - to be converted to coop,109,7,70,31,13,10031,22301
1004510036,1,451,36,151,1 AVENUE,151 1 Avenue HDFC,222,1075923,8,COOP,2,,,,103,2,66,27,12,10003,40
1016250053,1,1625,53,1511,LEXINGTON AVENUE,1511 Lexington Avenue HDFC,23924,1051743,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,5,68,29,12,10029,15802
1016250052,1,1625,52,1513,LEXINGTON AVENUE,1513 Lexington Avenue HDFC,23926,1076344,10,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,5,68,29,12,10029,15802
1018610007,1,1861,7,155,WEST 106 STREET,151-53-55 West 106 Street HDFC,37602,1055954,16,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,7,69,30,13,10025,193
1018610008,1,1861,8,153,WEST 106 STREET,151-53-55 West 106 Street HDFC,37601,1055955,15,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,7,69,30,13,10025,193
1018610009,1,1861,9,151,WEST 106 STREET,151-53-55 West 106 Street HDFC,37600,1055956,11,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,107,7,69,30,13,10025,193
1004200046,1,420,46,152,FORSYTH STREET,152 Forsyth Street HDFC,21617,1005599,20,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,1,65,26,7,10002,18
1020120054,1,2012,54,152,WEST 144 STREET,152 West 144 Street HDFC,41787,1060151,24,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,110,9,71,30,13,10030,232
1003490014,1,349,14,153.5,STANTON STREET,153 1/2 Stanton Street HDFC,28381,1004217,4,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,103,1,65,26,12,10002,3001
1018430014,1,1843,14,153,MANHATTAN AVENUE,153 Manhattan Avenue HDFC,25197,1055683,23,RENTAL,2,Community Management Program (CMP),,,107,7,69,30,13,10025,193
1018430015,1,1843,15,157,MANHATTAN AVENUE,153 Manhattan Avenue HDFC,25198,1055684,24,RENTAL,2,Community Management Program (CMP),,,107,7,69,30,13,10025,193
1018430016,1,1843,16,161,MANHATTAN AVENUE,153 Manhattan Avenue HDFC,25199,1055685,18,RENTAL,2,Community Management Program (CMP),,,107,7,69,30,13,10025,193
1016240044,1,1624,44,154,EAST 97 STREET,154 East 97 Street HDFC,18725,1051711,20,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,5,68,29,12,10029,15802
1003970011,1,397,11,155,EAST 2 STREET,155 East 2 Street HDFC,10436,1004946,21,COOP,2,Community Management Program (CMP),Mark Matthews,,103,2,65,26,12,10009,3002
1016240043,1,1624,43,156,EAST 97 STREET,156 East 97 Street HDFC,18726,1051710,20,COOP,2,Tenant Interim Lease (TIL),Mark Matthews,,111,5,68,29,12,10029,15802
