Date/Time,Lat,Lon,Base
2014-04-01T03:18:00Z,40.7273,-74.0073,B02682
2014-04-01T03:19:00Z,40.716,-73.9621,B02682
2014-04-01T03:21:00Z,40.7852,-73.9487,B02598
2014-04-01T03:22:00Z,40.7238,-73.9821,B02512
2014-04-01T03:22:00Z,40.5748,-73.9524,B02617
2014-04-01T03:22:00Z,40.6392,-73.9985,B02682
2014-04-01T03:22:00Z,40.7283,-73.9758,B02682
2014-04-01T03:24:00Z,40.7355,-74.0083,B02617
2014-04-01T03:24:00Z,40.7657,-73.9873,B02682
2014-04-01T03:25:00Z,40.782,-73.9143,B02598
2014-04-01T03:25:00Z,40.7501,-73.9834,B02598
2014-04-01T03:25:00Z,40.7199,-73.9893,B02598
2014-04-01T03:25:00Z,40.7161,-73.9914,B02682
2014-04-01T03:25:00Z,40.7486,-74.0063,B02682
2014-04-01T03:26:00Z,40.7569,-73.9923,B02598
2014-04-01T03:26:00Z,40.7195,-74.0029,B02682
2014-04-01T03:26:00Z,40.7527,-73.973,B02682
2014-04-01T03:28:00Z,40.7441,-73.9741,B02598
2014-04-01T03:28:00Z,40.7279,-73.9991,B02617
2014-04-01T03:29:00Z,40.7276,-73.9994,B02682
2014-04-01T03:30:00Z,40.7932,-73.9673,B02682
2014-04-01T03:32:00Z,40.7218,-74.0098,B02598
2014-04-01T03:33:00Z,40.754,-73.9922,B02682
2014-04-01T03:34:00Z,40.7445,-73.9908,B02764
2014-04-01T03:35:00Z,40.7531,-74.0039,B02512
2014-04-01T03:35:00Z,40.7389,-74.0393,B02512
2014-04-01T03:35:00Z,40.7121,-73.7858,B02598
2014-04-01T03:35:00Z,40.7969,-73.9347,B02617
2014-04-01T03:35:00Z,40.7237,-74.0055,B02682
2014-04-01T03:35:00Z,40.7452,-73.9739,B02682
2014-04-01T03:37:00Z,40.742,-74.0039,B02598
2014-04-01T03:39:00Z,40.7553,-73.9812,B02598
2014-04-01T03:39:00Z,40.7183,-73.9982,B02598
2014-04-01T03:39:00Z,40.7336,-73.999,B02682
2014-04-01T03:41:00Z,40.7619,-73.9715,B02512
2014-04-01T03:41:00Z,40.7239,-74.0105,B02682
2014-04-01T03:41:00Z,40.6727,-73.9866,B02682
2014-04-01T03:42:00Z,40.7403,-73.9807,B02598
2014-04-01T03:43:00Z,40.6736,-73.9686,B02598
2014-04-01T03:43:00Z,40.6709,-73.9724,B02682
2014-04-01T03:43:00Z,40.6466,-73.7895,B02682
2014-04-01T03:44:00Z,40.6951,-74.1787,B02682
2014-04-01T03:44:00Z,40.6884,-73.9846,B02682
2014-04-01T03:44:00Z,40.7704,-73.958,B02682
2014-04-01T03:45:00Z,40.7261,-73.9918,B02598
2014-04-01T03:45:00Z,40.7958,-73.9746,B02617
2014-04-01T03:45:00Z,40.8161,-73.9543,B02682
2014-04-01T03:47:00Z,40.728,-73.95,B02598
2014-04-01T03:47:00Z,40.6712,-73.9887,B02617
2014-04-01T03:48:00Z,40.7744,-73.9544,B02617
2014-04-01T03:49:00Z,40.764,-73.9262,B02598
2014-04-01T03:50:00Z,40.7661,-73.983,B02598
2014-04-01T03:50:00Z,40.7578,-73.9535,B02682
2014-04-01T03:50:00Z,40.785,-73.9548,B02682
2014-04-01T03:51:00Z,40.8079,-73.9598,B02617
2014-04-01T03:51:00Z,40.7438,-73.9538,B02682
2014-04-01T03:51:00Z,40.7075,-74.0128,B02682
2014-04-01T03:51:00Z,40.7108,-74.0072,B02682
2014-04-01T03:52:00Z,40.6806,-73.9343,B02682
2014-04-01T03:53:00Z,40.6949,-74.1779,B02617
2014-04-01T03:53:00Z,40.7471,-73.9909,B02682
2014-04-01T03:54:00Z,40.6741,-73.9843,B02598
2014-04-01T03:54:00Z,40.757,-73.9672,B02598
2014-04-01T03:54:00Z,40.7573,-73.9997,B02598
2014-04-01T03:54:00Z,40.7818,-73.9588,B02617
2014-04-01T03:57:00Z,40.7945,-73.9692,B02682
2014-04-01T03:57:00Z,40.7676,-73.9871,B02682
2014-04-01T03:57:00Z,40.8413,-73.9398,B02682
2014-04-01T03:58:00Z,40.7368,-73.9047,B02598
2014-04-01T03:58:00Z,40.7462,-73.9416,B02682
2014-04-01T03:58:00Z,40.7275,-73.9869,B02682
2014-04-01T03:59:00Z,40.7506,-73.9834,B02617
2014-04-01T03:59:00Z,40.7112,-73.9524,B02682
2014-04-01T03:59:00Z,40.7254,-74.0032,B02682
2014-04-01T04:00:00Z,40.7221,-74.0043,B02617
2014-04-01T04:01:00Z,40.698,-73.9242,B02598
2014-04-01T04:01:00Z,40.7075,-74.0072,B02682
2014-04-01T04:01:00Z,40.7075,-74.0072,B02682
2014-04-01T04:02:00Z,40.6466,-73.7897,B02598
2014-04-01T04:02:00Z,40.7356,-74.0028,B02682
2014-04-01T04:03:00Z,40.6688,-73.9873,B02598
2014-04-01T04:03:00Z,40.7411,-73.9788,B02617
2014-04-01T04:05:00Z,40.7463,-73.9796,B02617
2014-04-01T04:05:00Z,40.7657,-73.9719,B02764
2014-04-01T04:06:00Z,40.7224,-73.9983,B02617
2014-04-01T04:06:00Z,40.721,-73.8435,B02682
2014-04-01T04:07:00Z,40.6947,-73.994,B02598
2014-04-01T04:07:00Z,40.7851,-73.9552,B02682
2014-04-01T04:07:00Z,40.7284,-73.9488,B02682
2014-04-01T04:08:00Z,40.7905,-73.968,B02598
2014-04-01T04:08:00Z,40.6718,-73.9591,B02617
2014-04-01T04:08:00Z,40.8075,-73.9644,B02682
2014-04-01T04:08:00Z,40.7802,-73.9832,B02682
2014-04-01T04:08:00Z,40.7439,-74.0063,B02682
2014-04-01T04:09:00Z,40.6947,-74.1778,B02617
2014-04-01T04:09:00Z,40.727,-73.9468,B02617
2014-04-01T04:09:00Z,40.6458,-73.7767,B02617
2014-04-01T04:09:00Z,40.731,-73.9952,B02617
2014-04-01T04:09:00Z,40.7306,-73.9581,B02682
2014-04-01T04:10:00Z,40.678,-73.9204,B02682
2014-04-01T04:11:00Z,40.753,-74.0042,B02512
2014-04-01T04:12:00Z,40.6366,-73.999,B02682
2014-04-01T04:12:00Z,40.6536,-73.9367,B02682
2014-04-01T04:13:00Z,40.7695,-73.9854,B02598
2014-04-01T04:13:00Z,40.757,-73.9823,B02598
2014-04-01T04:13:00Z,40.7361,-74.0045,B02682
2014-04-01T04:13:00Z,40.7457,-73.9916,B02764
2014-04-01T04:14:00Z,40.7639,-73.988,B02598
2014-04-01T04:14:00Z,40.6805,-73.9513,B02598
2014-04-01T04:14:00Z,40.7139,-74.0066,B02682
2014-04-01T04:15:00Z,40.6561,-73.9531,B02512
2014-04-01T04:15:00Z,40.645,-73.7821,B02598
