time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type
2012-06-07T04:05:04.520Z	-36.074	-70.57	8	6	mww	461	29		0.98	pde	pde20120607040504520_8	2013-03-16T00:12:11.592Z	Maule, Chile	earthquake
2012-05-26T21:48:10.120Z	26.91	140.055	487.4	6	mwc	513	12.9		0.95	pde	pde20120526214810120_487	2013-03-16T00:11:57.064Z	Bonin Islands, Japan region	earthquake
2012-05-23T22:59:52.700Z	-50.42	139.516	10	6	mww	149	24.1		1.22	pde	pde20120523225952700_10	2013-03-16T00:11:54.186Z	western Indian-Antarctic Ridge	earthquake
2012-05-20T02:03:52.000Z	44.89	11.23	6.3	6	mww	729	11.5			pde	pde20120520020352000_6	2013-05-05T07:29:22.467Z	northern Italy	earthquake
2012-05-01T22:43:33.340Z	14.376	-92.897	14	6	mww	558	32.2		1.09	pde	pde20120501224333340_14	2013-03-16T00:11:28.218Z	offshore Chiapas, Mexico	earthquake
2012-04-23T17:36:21.170Z	-28.556	-177.412	114	6	mww	397	20		0.82	pde	pde20120423173621170_114	2013-03-16T00:11:16.126Z	Kermadec Islands region	earthquake
2012-04-21T01:25:13.200Z	-1.635	134.197	17.4	6	mwc	178	15.5		1.25	pde	pde20120421012513200_17	2013-03-16T00:11:10.378Z	near the north coast of Papua, Indonesia	earthquake
2012-04-12T07:06:00.570Z	28.837	-113.027	9	6	mwb	397	102.9		1.15	pde	pde20120412070600570_9	2013-07-13T01:14:26.631Z	Baja California, Mexico	earthquake
2012-04-11T22:41:46.040Z	43.584	-127.638	8	6	mwc	656	43.9		1.1	pde	pde20120411224146040_8	2013-03-16T00:10:55.275Z	off the coast of Oregon	earthquake
2012-04-11T09:27:56.760Z	1.254	91.735	10	6	mb	205	60.8		1.05	pde	pde20120411092756760_10	2013-03-16T00:10:53.053Z	North Indian Ocean	earthquake
2012-04-02T17:36:42.060Z	16.395	-98.316	9	6	mww	557	46.9		0.89	pde	pde20120402173642060_9	2013-03-16T00:10:43.319Z	Oaxaca, Mexico	earthquake
2012-03-26T18:12:52.850Z	10.071	-104.16	10	6	mwb	342	97.6		0.97	pde	pde20120326181252850_10	2013-03-16T00:10:36.278Z	northern East Pacific Rise	earthquake
2012-03-14T12:05:04.520Z	35.687	140.695	10	6	mwc	476	20.2		0.74	pde	pde20120314120504520_10	2013-03-16T00:10:14.089Z	near the east coast of Honshu, Japan	earthquake
2012-02-26T05:21:24.630Z	-24.495	-177.238	10	6	mww	271	23.7		1.22	pde	pde20120226052124630_10	2013-03-16T00:09:42.615Z	south of the Fiji Islands	earthquake
2012-02-06T10:10:19.850Z	9.885	123.095	9	6	mww	335	24.9		0.99	pde	pde20120206101019850_9	2013-03-16T00:09:11.942Z	Negros - Cebu region, Philippines	earthquake
2012-01-22T05:53:42.080Z	-56.759	-25.147	13	6	mww	121	40.1		0.97	pde	pde20120122055342080_13	2013-03-16T00:08:45.530Z	South Sandwich Islands region	earthquake
2012-01-15T14:21:31.370Z	-60.882	-55.965	10	6	mwc	212	36.8		1.07	pde	pde20120115142131370_10	2013-03-16T00:08:36.726Z	South Shetland Islands	earthquake
2011-12-26T04:48:08.870Z	-16.198	-173.862	90	6	mww	536	35.4		0.95	pde	pde20111226044808870_90	2013-11-05T10:29:24.169Z	Tonga	earthquake
2011-12-15T10:10:07.210Z	-32.718	-179.099	32	6	mww	423	21.6		1.09	pde	pde20111215101007210_32	2013-03-16T00:07:49.261Z	south of the Kermadec Islands	earthquake
2011-12-13T07:52:11.930Z	0.041	123.03	161	6	mww	536	13.9		0.95	pde	pde20111213075211930_161	2013-03-16T00:07:47.706Z	Minahasa, Sulawesi, Indonesia	earthquake
2011-11-30T00:27:06.990Z	15.455	118.999	9	6	mww	370	11.5		1.01	pde	pde20111130002706990_9	2013-03-16T00:07:17.848Z	Philippine Islands region	earthquake
2011-11-17T01:57:05.730Z	-1.702	-81.546	26.6	6	mww	499	37.6		0.74	pde	pde20111117015705730_26	2013-11-05T10:14:12.328Z	off the coast of Ecuador	earthquake
2011-11-11T10:41:37.480Z	-55.981	-124.439	10	6	mww	62	49		1.44	pde	pde20111111104137480_10	2013-03-16T00:06:46.524Z	southern East Pacific Rise	earthquake
2011-11-07T22:35:25.630Z	11.56	-85.861	177	6	mww	623	29.2		1.12	pde	pde20111107223525630_177	2013-03-16T00:06:44.399Z	Nicaragua	earthquake
2011-10-27T00:15:24.520Z	-17.941	-179.531	602.9	6	mww	465	18.9		0.86	pde	pde20111027001524520_602	2013-03-16T00:06:27.532Z	Fiji region	earthquake
2011-10-14T06:10:14.600Z	54.08	123.722	12	6	mww	499	25.7		0.76	pde	pde20111014061014600_12	2013-11-05T09:51:14.932Z	Amurskaya Oblast', Russia	earthquake
2011-09-14T18:10:09.000Z	53.107	172.984	15	6	mww	384	16.7		0.89	pde	pde20110914181009000_15	2013-03-16T00:05:23.309Z	Near Islands, Aleutian Islands, Alaska	earthquake
